appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1028470,Dis The Game,Leaf,DisStream,,917,651,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0
1092700,Hello Neighbor Pre-Alpha,Dynamic Pixels,tinyBuild,,1809,187,0,"200,000 .. 500,000",84,0,124,0,0,0,0,11
886250,PokerStars VR,Lucky VR Inc.,The Stars Group Inc.,,5700,1442,0,"200,000 .. 500,000",635,334,151,334,0,0,0,171
253490,CABAL Online,ESTgames Corp.,ESTsoft Inc.,,746,349,0,"200,000 .. 500,000",1154,0,301,0,0,0,0,0
264380,Narcissu 1st & 2nd,stage-nana,Sekai Project,,4675,206,0,"200,000 .. 500,000",251,0,100,0,0,0,0,14
922320,Sniper 3D Assassin: Free to Play,Fun Games For Free,Fun Games For Free,,1070,595,0,"200,000 .. 500,000",0,0,0,0,0,0,0,24
213330,LEGO Batman 2: DC Super Heroes,TT Games,Warner Bros. Interactive Entertainment,,6957,426,0,"200,000 .. 500,000",512,77,341,77,1999,1999,0,84
652980,Loading Screen Simulator,CakeEaterGames,CakeEaterGames,,7477,1136,0,"200,000 .. 500,000",57,8,35,8,0,0,0,6
619910,Just Cause 3: Multiplayer Mod,nanos GbR,"nanos GbR, Square Enix",,2078,580,0,"200,000 .. 500,000",160,0,71,0,0,0,0,2
354290,LoveBeat,"CRAZYDIAMOND CO., LTD.","CRAZYDIAMOND CO., LTD.",,1228,402,0,"200,000 .. 500,000",637,0,135,0,0,0,0,195
992310,Backbone: Prologue,EggNut,Raw Fury,,3989,133,0,"200,000 .. 500,000",1358,0,59,0,0,0,0,2
200170,Worms Revolution,Team17 Digital Ltd,Team17 Digital Ltd,,7646,1126,0,"200,000 .. 500,000",562,0,245,0,1499,1499,0,23
545650,High Profits,Double Coconut,Double Coconut,,464,494,0,"200,000 .. 500,000",3760,0,516,0,0,0,0,8
334040,Down To One,Gadget Games,My Way Games,,850,1291,0,"200,000 .. 500,000",145,0,89,0,499,499,0,7
323320,Grow Home,"Reflections, a Ubisoft Studio","Atari, Infogrames",,5010,455,0,"200,000 .. 500,000",224,5,167,5,799,799,0,5
381940,Trials on Tatooine,ILMxLAB,ILMxLAB,,1094,286,0,"200,000 .. 500,000",32,0,16,0,0,0,0,2
557780,Atom Fishing II,Woolf,R-Age,,1200,387,0,"200,000 .. 500,000",357,0,48,0,0,0,0,0
814480,Mini World: Block Art,MINOVATE HONG KONG LIMITED,MINOVATE HONG KONG LIMITED,,2519,1835,0,"200,000 .. 500,000",664,0,148,0,0,0,0,105
520720,Dear Esther: Landmark Edition,"The Chinese Room, Robert Briscoe",Secret Mode,,5103,1746,0,"200,000 .. 500,000",952,0,29,0,199,999,80,5
465520,PRICE,YETU GAME,YETU GAME,,4793,301,0,"200,000 .. 500,000",1636,0,84,0,0,0,0,0
341720,Among Ripples,Eat Create Sleep,Eat Create Sleep,,980,460,0,"200,000 .. 500,000",63,0,22,0,0,0,0,0
2918150,ONE PIECE Bounty Rush,SEGA,Bandai Namco Entertainment Inc.,,1787,864,0,"200,000 .. 500,000",1486,44,186,44,0,0,0,1469
346120,Boring Man - Online Tactical Stickman Combat,Spasman Games,Spasman Games,,4800,651,0,"200,000 .. 500,000",293,0,54,0,0,0,0,12
4850,Cossacks: Back to War,GSC Game World,GSC World Publishing,,2445,317,0,"200,000 .. 500,000",706,0,370,0,499,499,0,124
1293860,The Riftbreaker: Prologue,EXOR Studios,"EXOR Studios, Surefire.Games",,3916,184,0,"200,000 .. 500,000",272,0,88,0,0,0,0,1
562540,Cabals: Card Blitz,Kyy Games,BISBOG SA,,59,52,0,"200,000 .. 500,000",4795,0,4818,0,0,0,0,2
661130,ChilloutVR,Alpha Blend Interactive,Alpha Blend Interactive,,1905,451,0,"200,000 .. 500,000",118,3,60,3,0,0,0,35
611020,CityBattle | Virtual Earth,LLC RIKOR IMT,LLC RIKOR IMT,,1008,499,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0
1092710,Hello Neighbor Alpha 1,Dynamic Pixels,tinyBuild,,3212,267,0,"200,000 .. 500,000",61,0,30,0,0,0,0,22
1121910,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",Psyop,KFC,,11583,1025,0,"200,000 .. 500,000",0,0,0,0,0,0,0,5
391780,Uebergame,Duion,Duion,,254,223,0,"200,000 .. 500,000",54,0,56,0,0,0,0,1
24870,Need for Speed: Shift,Slightly Mad Studios,Electronic Arts,,2205,622,0,"200,000 .. 500,000",438,18,179,18,0,0,0,4
708720,Gridiron,1336 Studios,1336 Studios,,1597,422,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
1067310,Gravitas,Galaxy Shark Studios,Galaxy Shark Studios,,6738,137,0,"200,000 .. 500,000",0,0,0,0,0,0,0,3
502550,Strike.is: The Game,Freakinware Limited,Freakinware Limited,,909,332,0,"200,000 .. 500,000",89,0,45,0,0,0,0,2
604500,Tank Force,XDEVS LTD,XDEVS LTD,,1850,944,0,"200,000 .. 500,000",66,0,46,0,0,0,0,173
461910,Forge of Gods (RPG),Panoramik Inc,Panoramik Inc,,1991,663,0,"200,000 .. 500,000",1469,0,169,0,0,0,0,0
1230170,Gunsmith Simulator: Prologue,GameHunters,PlayWay S.A.,,1355,233,0,"200,000 .. 500,000",66,0,53,0,0,0,0,5
201210,Pox Nora,Desert Owl Games LLC,Desert Owl Games LLC,,649,204,0,"200,000 .. 500,000",251,0,263,0,0,0,0,22
1218250,We Went Back,Dead Thread Games,Dead Thread Games,,3956,671,0,"200,000 .. 500,000",0,0,0,0,0,0,0,2
266010,LYNE,Thomas Bowker,Thomas Bowker,,7825,355,0,"200,000 .. 500,000",306,0,167,0,299,299,0,9
278970,Digger Online,DiggerGames,DiggerGames,,8751,9229,0,"200,000 .. 500,000",388,0,47,0,499,499,0,8
696170,SENRAN KAGURA Peach Beach Splash,Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous",,3350,790,0,"200,000 .. 500,000",605,0,399,0,2999,2999,0,3
1094030,Lurk in the Dark : Prologue,IDEA FRUITION,IDEA FRUITION,,1873,239,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
1214280,Walking Simulator,Pugscape,Pugscape,,8261,1133,0,"200,000 .. 500,000",0,0,0,0,0,0,0,2
250620,Among the Sleep - Enhanced Edition,Krillbite Studio,Krillbite Studio,,6728,877,0,"200,000 .. 500,000",300,0,150,0,1699,1699,0,12
461560,MANDAGON,Blind Sky Studios,Blind Sky Studios,,5385,281,0,"200,000 .. 500,000",47,0,27,0,0,0,0,2
638490,Soldat,"Transhuman Design, Soldat Team",Transhuman Design,,1640,94,0,"200,000 .. 500,000",121,0,47,0,0,0,0,3
662320,METRO CONFLICT: THE ORIGIN,"RED DUCK, INC.","RED DUCK, INC.",,801,661,0,"200,000 .. 500,000",175,0,68,0,0,0,0,0
386880,Rake,Konsordo,Konsordo,,3096,1268,0,"200,000 .. 500,000",98,0,52,0,499,499,0,1
6550,Devil May Cry 3 Special Edition,"CAPCOM Co., Ltd.",Capcom,,2470,1501,0,"200,000 .. 500,000",240,0,19,0,0,0,0,8
340170,FINAL FANTASY TYPE-0 HD,Square Enix,Square Enix,,1892,1155,0,"200,000 .. 500,000",747,0,129,0,2999,2999,0,8
979070,Just Die Already,DoubleMoose Games,Curve Games,,2796,597,0,"200,000 .. 500,000",158,0,95,0,1499,1499,0,20
250260,Jazzpunk: Director's Cut,Necrophone Games,Necrophone Games,,7165,504,0,"200,000 .. 500,000",289,59,147,59,1499,1499,0,4
363680,Battlefleet Gothic: Armada,Tindalos Interactive,Focus Entertainment,,3994,1827,0,"200,000 .. 500,000",857,59,331,59,149,1499,90,26
788770,Meteor 60 Seconds!,AvoCavo,AvoCavo,,4523,167,0,"200,000 .. 500,000",37,0,27,0,0,0,0,2
286100,You Have to Win the Game,Minor Key Games,Minor Key Games,,5271,404,0,"200,000 .. 500,000",90,0,35,0,0,0,0,4
1629520,A Little to the Left,Max Inferno,Secret Mode,,12461,1075,0,"200,000 .. 500,000",404,92,283,132,1499,1499,0,422
959080,Unsung Warriors - Prologue,Osarion,Osarion,,1347,72,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
327140,Tilt Brush,Google,Google,,1117,71,0,"200,000 .. 500,000",162,27,115,27,0,0,0,8
1263550,Combat Arms: the Classic,"VALOFE, NEXON",VALOFE,,1247,680,0,"200,000 .. 500,000",306,0,134,0,0,0,0,79
366090,Colony Survival,Pipliz,Pipliz,,7711,683,0,"200,000 .. 500,000",2569,0,1520,0,2495,2495,0,171
778700,Amorous,Team Amorous,Snaggletooth Studios,,5608,1265,0,"200,000 .. 500,000",350,0,297,0,0,0,0,24
300970,Fiesta Online NA,gamigo AG,gamigo AG,,471,293,0,"200,000 .. 500,000",332,0,417,0,0,0,0,34
2904000,The Spell Brigade,Bolt Blaster Games,Bolt Blaster Games,,7014,1188,0,"200,000 .. 500,000",1203,240,813,170,999,999,0,3580
306020,Bloons TD 5,Ninja Kiwi,Ninja Kiwi,,10926,619,0,"200,000 .. 500,000",1743,114,919,114,999,999,0,153
674400,Einar,DreamPunks,"DreamPunks, WolffWare",,878,554,0,"200,000 .. 500,000",39,19,37,19,0,0,0,0
1072390,BirdGut,Micah Boursier,Micah Boursier,,4707,232,0,"200,000 .. 500,000",0,0,0,0,0,0,0,3
220260,Farming Simulator 2013 Titanium Edition,Giants Software,Giants Software,,4857,396,0,"200,000 .. 500,000",2648,0,751,0,1499,1499,0,23
772540,Battle Royale Trainer,Trickjump Games Ltd,Trickjump Games Ltd,,947,705,0,"200,000 .. 500,000",337,0,192,0,0,0,0,0
495890,Montaro,JCKSLAP,02GAMES,,11512,591,0,"200,000 .. 500,000",170,0,130,0,99,99,0,3
337410,Karos,Galaxy Gate,GameXP.com,,754,382,0,"200,000 .. 500,000",17616,5993,11895,8638,0,0,0,441
562590,Galactic Junk League,Pixel Federation,Pixel Federation,,1212,532,0,"200,000 .. 500,000",161,0,58,0,0,0,0,0
339610,Freestyle 2: Street Basketball,JOYCITY,JOYCITY,,9153,3494,0,"200,000 .. 500,000",1809,97,102,97,0,0,0,126
431930,Kabounce,Stitch Heads Entertainment,Stitch Heads Entertainment,,2265,228,0,"200,000 .. 500,000",87,0,31,0,1499,1499,0,1
1021950,When the Darkness comes,Sirhaian,Sirhaian,,7671,643,0,"200,000 .. 500,000",114,0,75,0,0,0,0,2
318100,AXYOS,Axyos Games,Axyos Games,,1165,1113,0,"200,000 .. 500,000",183,0,103,0,499,499,0,0
743090,Defiance 2050,Trion Worlds,Trion Worlds,,1120,1167,0,"200,000 .. 500,000",228,0,63,0,0,0,0,0
700030,Life is Feudal: MMO,LTG,LTG,,2965,4326,0,"200,000 .. 500,000",4286,0,281,0,0,0,0,9
2202770,Pizza Hero,Astro Hound,Astro Hound,,839,87,0,"200,000 .. 500,000",0,0,0,0,199,199,0,7
1369320,Virtual Cottage,DU&I,DU&I,,10173,229,0,"200,000 .. 500,000",981,0,284,0,0,0,0,274
269790,DreadOut,Digital Happiness,Digital Happiness,,4187,1266,0,"200,000 .. 500,000",355,0,191,0,1499,1499,0,8
1024890,Sector's Edge,"Vercidium, Rocket Skeleton",Vercidium,,2680,586,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0
1010800,Wallpaper Maker （造物主视频桌面）,Dream.Machine,Dream.Machine,,1277,262,0,"200,000 .. 500,000",0,0,0,0,0,0,0,6
575720,Mighty Party,By Aliens L.L.C-FZ,By Aliens L.L.C-FZ,,1447,1034,0,"200,000 .. 500,000",10821,0,259,0,0,0,0,105
1985170,"Warhammer 40,000: Warpforge",Everguild Ltd.,Everguild Ltd.,,1451,1322,0,"200,000 .. 500,000",3002,243,140,243,0,0,0,246
444250,Crown and Council,Mojang,Mojang,,488,270,0,"200,000 .. 500,000",95,0,87,0,0,0,0,0
575640,Zup! 3,Quiet River,Quiet River,,4678,517,0,"200,000 .. 500,000",269,0,111,0,199,199,0,0
461040,PICO PARK,TECOPARK,TECOPARK,,1095,418,0,"200,000 .. 500,000",55,51,46,53,0,0,0,14
1230410,Chaos,Frinky,Frinky,,3403,449,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0
1372110,JoJo's Bizarre Adventure: All-Star Battle R,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment,,10640,1311,0,"200,000 .. 500,000",916,53,306,78,1959,6999,72,357
1097430,Book of Yog Idle RPG,元气工作室,元气工作室,,4733,2650,0,"200,000 .. 500,000",3885,401,208,668,0,0,0,647
645260,Trophy Fishing 2,Overgroup,Overgroup,,848,295,0,"200,000 .. 500,000",565,513,49,513,0,0,0,177
429540,Prime World: Defenders 2,Nival,Nival,,1688,444,0,"200,000 .. 500,000",381,0,181,0,0,0,0,30
560260,Super Blue Boy Planet,NanningsGames,NanningsGames,,2467,239,0,"200,000 .. 500,000",59,0,53,0,0,0,0,0
2795000,The WereCleaner,Howlin' Hugs,USC Games,,10062,57,0,"200,000 .. 500,000",0,0,0,0,0,0,0,33
1106750,Fault,Strange Matter Studios,Strange Matter Studios,,2368,1634,0,"200,000 .. 500,000",2227,0,205,0,0,0,0,0
302080,Bus Driver,SCS Software,SCS Software,,1844,396,0,"200,000 .. 500,000",119,28,29,28,499,499,0,4
1170970,Marbles on Stream,Pixel by Pixel Studios Inc.,Pixel by Pixel Studios Inc.,,1810,284,0,"200,000 .. 500,000",622,102,58,102,0,0,0,174
249870,Scribblenauts Unmasked: A DC Comics Adventure,5th Cell Media,Warner Bros. Interactive Entertainment,,1911,421,0,"200,000 .. 500,000",411,0,333,0,1999,1999,0,6
1216200,Coloring Game 2,L. Stotch,L. Stotch,,3021,91,0,"200,000 .. 500,000",767,0,521,0,0,0,0,17
289780,Requiem: Rise of the Reaver,"Gravity Interactive, Inc.","Gravity Interactive, Inc.",,610,293,0,"200,000 .. 500,000",74,0,67,0,0,0,0,13
496460,Life is Feudal: Forest Village,Mindillusion,Bitbox Ltd.,,3904,1986,0,"200,000 .. 500,000",1196,0,175,0,2499,2499,0,38
336670,HIT,Shifty Chair Games,Shifty Chair Games,,182,290,0,"200,000 .. 500,000",69,0,37,0,0,0,0,1
1202130,Starship Troopers: Terran Command,The Artistocrats,Slitherine Ltd.,,9461,1323,0,"200,000 .. 500,000",823,371,527,371,1649,2999,45,162
228400,Ace Combat Assault Horizon - Enhanced Edition,NAMCO,BANDAI NAMCO Entertainment,,3017,2189,0,"200,000 .. 500,000",264,0,108,0,0,0,0,1
313010,Cities XXL,Focus Entertainment,Focus Entertainment,,925,1398,0,"200,000 .. 500,000",567,0,300,0,199,999,80,13
227100,Sniper Elite: Nazi Zombie Army,Rebellion,Rebellion,,4065,536,0,"200,000 .. 500,000",351,0,272,0,1499,1499,0,6
12180,Grand Theft Auto 2,Rockstar North,Rockstar Games,,453,36,0,"200,000 .. 500,000",81,0,19,0,0,0,0,4
1557990,Retail Royale,DarxDev,DarxDev,,4192,1268,0,"200,000 .. 500,000",64,0,35,0,499,499,0,4
373330,All Is Dust,Mannequin Games LLC,Mannequin Games LLC,,593,729,0,"200,000 .. 500,000",46,0,21,0,0,0,0,3
648430,Hand of the Gods,Hi-Rez Studios,Hi-Rez Studios,,734,543,0,"200,000 .. 500,000",165,0,95,0,0,0,0,0
702320,March of Empires,Gameloft,Gameloft,,1082,600,0,"200,000 .. 500,000",3816,0,4184,0,0,0,0,846
1555710,OMFG: One Million Fatal Guns,Gun Hit Wonders,DigiPen Institute of Technology,,2225,115,0,"200,000 .. 500,000",0,0,0,0,0,0,0,3
994140,Lightmatter,Tunnel Vision Games,Aspyr,,2505,235,0,"200,000 .. 500,000",147,0,91,0,1999,1999,0,5
979920,Supremacy 1914: World War 1,Bytro Labs GmbH,Bytro Labs GmbH,,2895,978,0,"200,000 .. 500,000",5106,0,245,0,0,0,0,334
734580,BattleRush,TB Games,TB Games,,1995,889,0,"200,000 .. 500,000",470,0,30,0,0,0,0,1
866440,What Never Was,Acke Hallgren,Acke Hallgren,,4714,261,0,"200,000 .. 500,000",0,0,0,0,0,0,0,4
395520,Missing Translation,"AlPixel Games, Luis Diaz, Gustavo Santos, Albert Fernandez, Tice Thomason",GamesBoosters,,2860,401,0,"200,000 .. 500,000",144,0,49,0,0,0,0,2
373720,Ryzom,Winch Gate Property Limited,Winch Gate Property Limited,,354,148,0,"200,000 .. 500,000",400,0,185,0,0,0,0,5
782670,Battle Tanks: Legends of World War II,XDEVS LTD,XDEVS LTD,,969,489,0,"200,000 .. 500,000",61,0,80,0,0,0,0,58
298520,Orbital Gear,Night Node,Night Node,,1483,304,0,"200,000 .. 500,000",210,0,149,0,0,0,0,0
324080,Rising World,JIW-Games,JIW-Games,,4522,813,0,"200,000 .. 500,000",1273,2398,533,2972,1499,1499,0,70
577940,Killer Instinct,Iron Galaxy Studios,Xbox Game Studios,,4559,678,0,"200,000 .. 500,000",373,0,205,0,0,0,0,40
437160,The Lion's Song: Episode 1 - Silence,Mi'pu'mi Games GmbH,Mi'pu'mi Games GmbH,,2051,169,0,"200,000 .. 500,000",134,0,69,0,0,0,0,0
748940,Rise of Legions,Broken Games,Crunchy Leaf Games,,1340,287,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
286000,Tooth and Tail,Pocketwatch Games,Pocketwatch Games,,3242,815,0,"200,000 .. 500,000",237,0,87,0,1999,1999,0,3
404680,Hob,Runic Games,Arc Games,,4632,611,0,"200,000 .. 500,000",585,729,450,729,1999,1999,0,9
732730,War Trigger 2,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,505,409,0,"200,000 .. 500,000",78,0,50,0,0,0,0,0
260750,Neighbours from Hell Compilation,JoWooD Vienna,HandyGames,,2872,68,0,"200,000 .. 500,000",95,0,55,0,1499,1499,0,2
227220,Sang-Froid - Tales of Werewolves,Artifice Studio,Artifice Studio,,1687,236,0,"200,000 .. 500,000",108,0,63,0,0,0,0,0
256190,Enemy Front,CI Games,CI Games,,3599,1837,0,"200,000 .. 500,000",339,0,154,0,1999,1999,0,5
232810,Godus,22cans,22cans Ltd.,,1803,5438,0,"200,000 .. 500,000",670,0,242,0,0,0,0,1
285580,ACE - Arena: Cyber Evolution,Spearhead Games,Spearhead Games,,702,359,0,"200,000 .. 500,000",69,0,18,0,0,0,0,0
880850,War Rock,Dream Execution,Papaya Play,,649,443,0,"200,000 .. 500,000",355,0,249,0,0,0,0,10
672640,War Robots VR: The Skirmish,MY.GAMES,MY.GAMES,,623,161,0,"200,000 .. 500,000",347,0,447,0,0,0,0,0
390560,Fantasy Strike,Sirlin Games,Sirlin Games,,1257,807,0,"200,000 .. 500,000",93,0,50,0,0,0,0,6
667870,MINDNIGHT,No Moon,No Moon,,2533,452,0,"200,000 .. 500,000",226,0,130,0,0,0,0,0
387970,Clown House (Palyaço Evi),"gord10, Aslan Game Studio",Aslan Game Studio,,596,580,0,"200,000 .. 500,000",27,0,12,0,0,0,0,6
1274290,Kidnapped Girl,TroyHolman,TroyHolman,,5481,891,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
581630,Sword With Sauce,Diatomic Studios,Diatomic Studios,,5527,871,0,"200,000 .. 500,000",254,0,167,0,499,499,0,12
1575870,UpGun,"MaxEstLa, Zino",MaxEstLa,,3448,661,0,"200,000 .. 500,000",292,11,240,11,0,0,0,52
515220,F1 2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts",,5194,754,0,"200,000 .. 500,000",2881,0,1213,0,0,0,0,25
702810,Shooty Skies,Mighty Games,Mighty Games,,1308,118,0,"200,000 .. 500,000",71,0,47,0,0,0,0,1
503300,Super Star,Dream Works,Paradise Project,,3155,894,0,"200,000 .. 500,000",3994,0,111,0,0,0,0,0
1241700,There Is No Game: Jam Edition 2015,Draw Me A Pixel,Draw Me A Pixel,,6807,215,0,"200,000 .. 500,000",22,0,19,0,0,0,0,2
922460,Cheeky Chooks,Trilum Studios,"Trilum Studios, RSPCA",,2503,167,0,"200,000 .. 500,000",0,0,0,0,0,0,0,8
251170,Damned,9heads Game Studios,9heads Game Studios,,2714,1130,0,"200,000 .. 500,000",288,0,142,0,899,899,0,0
381120,Shoppe Keep,Strange Fire,Excalibur Publishing,,1781,1087,0,"200,000 .. 500,000",306,0,247,0,499,499,0,4
1341230,Super Buckyball Tournament Preseason,Pathea Games,Pathea Games,,1069,175,0,"200,000 .. 500,000",247,0,130,0,0,0,0,0
1073390,Aircar,"Giant Form Entertainment, LLC","Giant Form Entertainment, LLC",,2213,127,0,"200,000 .. 500,000",0,0,0,0,0,0,0,4
10220,Postal III,"Trashmasters, Zoom Platform",Akella,,2389,2907,0,"200,000 .. 500,000",296,0,172,0,599,599,0,7
391270,Fingerbones,David Szymanski,David Szymanski,,2813,723,0,"200,000 .. 500,000",24,0,20,0,0,0,0,2
952040,MUSYNX,I-Inferno,Wave Game,,5564,677,0,"200,000 .. 500,000",280,6,95,10,399,399,0,39
1094780,Fisher Online,R-Age LLC,R-Age LLC,,3453,640,0,"200,000 .. 500,000",10768,0,4119,0,1399,1399,0,349
1131720,PROP AND SEEK,Twerk Games®,Twerk Games®,,4038,951,0,"200,000 .. 500,000",185,0,109,0,0,0,0,1
788260,Rules Of Survival,Netease Games,Netease Games,,3103,1953,0,"200,000 .. 500,000",2665,0,751,0,0,0,0,0
468700,NVIDIA VR Funhouse,Lightspeed Studios™,Lightspeed Studios™,,677,178,0,"200,000 .. 500,000",57,0,24,0,0,0,0,3
802200,Hellbound: Survival Mode,Saibot Studios,Saibot Studios,,1681,242,0,"200,000 .. 500,000",48,0,19,0,0,0,0,1
340810,Deepworld,Bytebin,Bytebin,,443,287,0,"200,000 .. 500,000",80,0,47,0,0,0,0,4
331120,Passing Pineview Forest,VIS-Games,United Independent Entertainment,,1108,579,0,"200,000 .. 500,000",47,0,24,0,0,0,0,1
264120,Victory: The Age of Racing,Vae Victis Games,Vae Victis Games,,677,656,0,"200,000 .. 500,000",70,0,26,0,0,0,0,0
354200,Aberoth,"Jarbit, Castle art by Yuriy Gusev",Jarbit,,922,514,0,"200,000 .. 500,000",51,0,34,0,0,0,0,4
570460,Laser League,"Roll7, CE-Asia, 505 Games","CE-Asia, 505 Games",,1309,330,0,"200,000 .. 500,000",91,0,68,0,0,0,0,0
429790,AdventureQuest 3D,"Artix Entertainment, LLC","Artix Entertainment, LLC",,7584,1702,0,"200,000 .. 500,000",1147,16,97,16,0,0,0,160
412400,GASP,Dark Day Interactive,Dark Day Interactive,,369,1257,0,"200,000 .. 500,000",68,0,41,0,0,0,0,0
1253950,Dreamscaper: Prologue,Afterburner Studios,"indie.io, Maple Whispering Limited",,1733,210,0,"200,000 .. 500,000",74,0,26,0,0,0,0,0
1138190,Poker Championship,BBstudio Inc.,BBstudio Inc.,,2030,492,0,"200,000 .. 500,000",1598,0,390,0,0,0,0,233
728730,Holyday City: Reloaded,Holyday Studios,Holyday Studios,,1292,293,0,"200,000 .. 500,000",1978,0,198,0,0,0,0,55
416600,Full Metal Furies,Cellar Door Games,Cellar Door Games,,2558,261,0,"200,000 .. 500,000",484,0,434,0,1999,1999,0,6
791930,BombTag,David Schneider,David Schneider,,1277,239,0,"200,000 .. 500,000",91,0,35,0,0,0,0,1
868020,Aperture Hand Lab,Cloudhead Games Ltd.,Valve,,1286,195,0,"200,000 .. 500,000",25,0,18,0,0,0,0,2
519140,Minds Eyes,Stanislaw Truchowski,TurnVex,,1234,529,0,"200,000 .. 500,000",42,0,41,0,0,0,0,2
1901200,FPS Game: Dev Test,jackal_dev_test,jackal_dev_test,,1209,212,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0
648390,Marie's Room,like Charlie,like Charlie,,6058,405,0,"200,000 .. 500,000",784,0,51,0,0,0,0,4
286340,FarSky,Farsky Interactive,Farsky Interactive,,2881,966,0,"200,000 .. 500,000",180,0,143,0,0,0,0,1
1067600,The Defender: Farm and Castle,Kobsoft Kitti,Kobsoft Kitti,,967,113,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1
1344350,SUCCUBUS: Prologue,Madmind Studio,Madmind Studio,,4466,978,0,"200,000 .. 500,000",41,0,37,0,0,0,0,1
570840,家有大貓 Nekojishi,"Studio Klondike, Team Nekojishi","Studio Klondike, Orange Juice Dog",,3835,299,0,"200,000 .. 500,000",435,0,146,0,0,0,0,4
581130,Metal Waltz: Anime tank girls,WuL Game Studio,WuL Game Studio,,1313,354,0,"200,000 .. 500,000",584,0,102,0,0,0,0,30
521200,Epic Battle Fantasy 3,Matt Roszak,Matt Roszak,,2122,66,0,"200,000 .. 500,000",848,3,847,3,0,0,0,12
342480,Gunscape,Blowfish Studios,Blowfish Studios,,828,421,0,"200,000 .. 500,000",98,0,70,0,1999,1999,0,0
2157560,Granblue Fantasy Versus: Rising,"Cygames, Inc., Arc System Works","Cygames, Inc.",,4586,971,0,"200,000 .. 500,000",1971,98,791,131,4999,4999,0,1736
1092730,Hello Neighbor Alpha 3,Dynamic Pixels,tinyBuild,,1165,359,0,"200,000 .. 500,000",48,0,40,0,0,0,0,12
444930,Zaccaria Pinball,Magic Pixel Kft.,Magic Pixel Kft.,,1345,311,0,"200,000 .. 500,000",5282,3647,1111,3647,0,0,0,15
386010,Steambirds Alliance,Spry Fox LLC,Spry Fox LLC,,935,298,0,"200,000 .. 500,000",93,0,45,0,0,0,0,0
454540,LuckCatchers,DiP Online,DiP Online,,445,365,0,"200,000 .. 500,000",154,0,215,0,0,0,0,1
469990,NEKOPALIVE,NEKO WORKs,Sekai Project,,1374,112,0,"200,000 .. 500,000",230,0,44,0,0,0,0,1
779650,Ready Player One: OASIS beta,Directive Games Limited,Vive Studios,,309,214,0,"200,000 .. 500,000",28,0,33,0,0,0,0,0
360870,Ultimate Tic-Tac-Toe,Tigerish Games,Tigerish Games,,1278,257,0,"200,000 .. 500,000",53,0,31,0,0,0,0,2
568090,Tattletail,Waygetter Electronics,"Little Flag Software, LLC",,4170,243,0,"200,000 .. 500,000",140,0,117,0,799,799,0,4
673560,IOSoccer,IOSoccer Team,IOSoccer Team,,2287,522,0,"200,000 .. 500,000",276,507,66,507,0,0,0,28
532840,CAYNE,THE BROTHERHOOD,THE BROTHERHOOD,,1478,351,0,"200,000 .. 500,000",100,0,79,0,0,0,0,3
562220,Zup! 2,Quiet River,Quiet River,,5994,278,0,"200,000 .. 500,000",155,0,100,0,199,199,0,1
1058640,RED HOT VENGEANCE,Bros Before Giraffes,Bros Before Giraffes,,3291,137,0,"200,000 .. 500,000",0,0,0,0,0,0,0,9
518580,Accounting (Legacy),"Crows Crows Crows, Squanch Games",Crows Crows Crows,,2340,181,0,"200,000 .. 500,000",65,0,35,0,0,0,0,0
619080,SOS,"Outpost Games, Inc.","Outpost Games, Inc.",,1880,4882,0,"200,000 .. 500,000",475,0,57,0,0,0,0,0
275100,Shelter 2,Might and Delight,Might and Delight,,3580,631,0,"200,000 .. 500,000",270,0,62,0,749,2499,70,5
370770,Holodrive,BitCake Studio,Versus Evil,,977,267,0,"200,000 .. 500,000",140,0,82,0,0,0,0,3
314280,The Forgotten Ones,Bernt Andreas Eide,Bernt Andreas Eide,,990,644,0,"200,000 .. 500,000",67,0,55,0,0,0,0,3
298610,Ylands,Bohemia Interactive,Bohemia Interactive,,5072,2968,0,"200,000 .. 500,000",1018,0,72,0,0,0,0,77
980610,Quaver,Swan,Swan,,14267,1252,0,"200,000 .. 500,000",0,0,0,0,0,0,0,153
285010,Pixel Puzzles: UndeadZ,Pixel Puzzles,Pixel Puzzles,,679,249,0,"200,000 .. 500,000",324,0,321,0,0,0,0,1
