appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,owners_min,owners_max,owners_median,release_date,genres,is_free,metacritic_score,dlc_count
1240440,Halo Infinite,343 Industries,Xbox Game Studios,,123333,53708,0,"10,000,000 .. 20,000,000",1406,1122,209,366,0,0,0,2275,10000000,20000000,15000000.0,"15 Nov, 2021","Action, Free To Play",True,,1
648800,Raft,Redbeet Interactive,Axolot Games,,323198,23161,0,"10,000,000 .. 20,000,000",1775,328,920,268,1999,1999,0,4701,10000000,20000000,15000000.0,"20 Jun, 2022","Adventure, Indie, Simulation",False,,0
386360,SMITE,Titan Forge Games,Hi-Rez Studios,,94368,25428,0,"10,000,000 .. 20,000,000",5919,931,271,1377,0,0,0,1853,10000000,20000000,15000000.0,"8 Sep, 2015","Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free To Play",True,83,13
444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,116407,31754,0,"10,000,000 .. 20,000,000",5798,346,209,375,0,0,0,5707,10000000,20000000,15000000.0,"9 Nov, 2016","Action, Massively Multiplayer, Simulation, Strategy, Free To Play",True,,17
755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,74345,25492,0,"10,000,000 .. 20,000,000",1199,0,131,0,0,0,0,0,10000000,20000000,15000000.0,"24 Jun, 2019","Action, Free To Play, Massively Multiplayer",False,,0
1222670,The Sims 4,Maxis,Electronic Arts,,149064,21663,0,"10,000,000 .. 20,000,000",2448,818,314,235,0,0,0,25276,10000000,20000000,15000000.0,"18 Jun, 2020","Adventure, Casual, Simulation, Free To Play",True,,103
550650,Black Squad,"VALOFE, NS STUDIO",VALOFE,,62042,19672,0,"10,000,000 .. 20,000,000",1568,16,84,16,0,0,0,212,10000000,20000000,15000000.0,"26 Jun, 2019","Action, Free To Play",True,,2
477160,Human Fall Flat,No Brakes Games,Curve Games,,202253,11387,0,"10,000,000 .. 20,000,000",865,91,382,81,1999,1999,0,950,10000000,20000000,15000000.0,"22 Jul, 2016","Adventure, Casual, Indie, Simulation",False,70,1
1665460,eFootball,KONAMI,KONAMI,,44067,48266,0,"10,000,000 .. 20,000,000",3975,1521,187,340,0,0,0,13404,10000000,20000000,15000000.0,"29 Sep, 2021","Simulation, Sports, Free To Play",True,,0
417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,941,693,0,"10,000,000 .. 20,000,000",74,0,31,0,199,199,0,1,10000000,20000000,15000000.0,"16 Dec, 2016","Action, Massively Multiplayer, Simulation, Sports",False,,3
433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,113729,90284,0,"10,000,000 .. 20,000,000",3343,0,208,0,0,0,0,1010,10000000,20000000,15000000.0,"28 Feb, 2018","Action, Adventure, Free To Play, Massively Multiplayer",True,70,0
594650,Hunt: Showdown 1896,Crytek,Crytek,,181110,67110,0,"10,000,000 .. 20,000,000",7278,692,827,325,1799,3999,55,6300,10000000,20000000,15000000.0,"27 Aug, 2019",Action,False,81,68
255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,256362,19408,0,"10,000,000 .. 20,000,000",3690,273,901,135,2999,2999,0,8842,10000000,20000000,15000000.0,"10 Mar, 2015","Simulation, Strategy",False,85,72
304050,Trove,gamigo US Inc.,gamigo US Inc.,,74103,18267,0,"10,000,000 .. 20,000,000",2607,121,200,236,0,0,0,758,10000000,20000000,15000000.0,"9 Jul, 2015","Action, Adventure, Casual, Massively Multiplayer, RPG, Free To Play",True,,12
1811260,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,,86192,65227,0,"5,000,000 .. 10,000,000",9986,100,5503,133,0,0,0,1280,5000000,10000000,7500000.0,"30 Sep, 2022","Simulation, Sports",False,,0
218230,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,59598,14096,0,"5,000,000 .. 10,000,000",2395,976,174,998,0,0,0,496,5000000,10000000,7500000.0,"20 Nov, 2012","Action, Massively Multiplayer, Free To Play",True,84,0
